timestamp,mem_used_mb,cpu_used_pct
2026-04-24T12:04:11+00:00,5990,21.9
2026-04-24T12:04:16+00:00,5982,9.5
2026-04-24T12:04:21+00:00,5985,36.6
2026-04-24T12:04:26+00:00,5977,4.8
2026-04-24T12:04:31+00:00,5977,33.3
2026-04-24T12:04:37+00:00,5976,2.4
2026-04-24T12:04:42+00:00,5973,51.3
2026-04-24T12:04:47+00:00,5985,2.4
2026-04-24T12:04:52+00:00,5991,22
2026-04-24T12:04:57+00:00,5976,2.4
2026-04-24T12:05:03+00:00,5990,2.4
2026-04-24T12:05:08+00:00,5990,2.4
2026-04-24T12:05:13+00:00,5984,4.8
2026-04-24T12:05:18+00:00,5991,2.4
2026-04-24T12:05:24+00:00,5982,7.3
2026-04-24T12:05:29+00:00,5987,2.5
2026-04-24T12:05:34+00:00,5983,2.4
2026-04-24T12:05:39+00:00,5990,85.4
2026-04-24T12:05:44+00:00,5974,9.8
2026-04-24T12:05:50+00:00,5978,0
2026-04-24T12:05:55+00:00,5972,2.5
2026-04-24T12:06:00+00:00,5982,24.4
2026-04-24T12:06:05+00:00,5988,2.4
2026-04-24T12:06:11+00:00,5989,12.2
2026-04-24T12:06:16+00:00,5984,2.4
2026-04-24T12:06:21+00:00,5991,2.4
2026-04-24T12:06:26+00:00,5990,4.8
2026-04-24T12:06:31+00:00,6003,7.3
2026-04-24T12:06:37+00:00,5999,2.4
2026-04-24T12:06:42+00:00,5991,12.2
2026-04-24T12:06:47+00:00,5996,2.4
2026-04-24T12:06:52+00:00,5985,7
2026-04-24T12:06:58+00:00,5976,2.4
2026-04-24T12:07:03+00:00,5989,4.8
2026-04-24T12:07:08+00:00,5997,21.4
2026-04-24T12:07:13+00:00,5998,2.4
2026-04-24T12:07:18+00:00,5999,2.6
2026-04-24T12:07:24+00:00,5989,2.4
2026-04-24T12:07:29+00:00,5991,4.8
2026-04-24T12:07:34+00:00,5997,2.4
2026-04-24T12:07:39+00:00,5998,9.7
2026-04-24T12:07:45+00:00,5998,41.5
2026-04-24T12:07:50+00:00,5995,14.6
2026-04-24T12:07:55+00:00,5987,46.3
2026-04-24T12:08:00+00:00,5993,2.4
2026-04-24T12:08:05+00:00,5993,14.3
2026-04-24T12:08:11+00:00,5996,12.2
2026-04-24T12:08:16+00:00,5989,4.8
2026-04-24T12:08:21+00:00,5996,4.8
2026-04-24T12:08:26+00:00,5985,2.4
2026-04-24T12:08:31+00:00,5987,4.8
2026-04-24T12:08:37+00:00,5997,2.4
2026-04-24T12:08:42+00:00,5994,24.4
2026-04-24T12:08:47+00:00,5997,5
2026-04-24T12:08:52+00:00,5990,4.8
2026-04-24T12:08:58+00:00,5996,7.3
2026-04-24T12:09:03+00:00,6033,14.2
2026-04-24T12:09:08+00:00,6067,7.2
2026-04-24T12:09:13+00:00,6059,0
